title = "Plot for node 200035"
VARIABLES =  "Time""Displacement X ""Displacement Y ""Displacement Z ""Displacement Al""Displacement Be""Displacement Ga"
ZONE T= "ONE"  I=  5001  F=POINT
  0.9197838E+00  0.1122993E-01  0.5612824E-02  0.8188000E+00 -0.1501937E+01  0.1657978E+01  0.3022748E-01
  0.9399931E+00  0.1876970E-01  0.5918750E-02  0.8312083E+00 -0.1501595E+01  0.1658504E+01  0.2592148E-01
  0.9602024E+00  0.2425355E-01  0.6315702E-02  0.8494536E+00 -0.1501325E+01  0.1658711E+01  0.2427869E-01
  0.9798936E+00  0.2582862E-01  0.6794671E-02  0.8781990E+00 -0.1501228E+01  0.1658525E+01  0.2664127E-01
  0.1000103E+01  0.2348475E-01  0.7449432E-02  0.9160609E+00 -0.1501338E+01  0.1658006E+01  0.3130210E-01
  0.1019794E+01  0.1926505E-01  0.8236903E-02  0.9545844E+00 -0.1501545E+01  0.1657670E+01  0.3581626E-01
  0.1040003E+01  0.1575283E-01  0.9055780E-02  0.9899611E+00 -0.1501676E+01  0.1657740E+01  0.3910156E-01
  0.1060213E+01  0.1459966E-01  0.9759553E-02  0.1018234E+01 -0.1501644E+01  0.1657958E+01  0.4074481E-01
  0.1079904E+01  0.1509989E-01  0.1029769E-01  0.1038704E+01 -0.1501531E+01  0.1658216E+01  0.4150894E-01
  0.1100113E+01  0.1569913E-01  0.1064813E-01  0.1052602E+01 -0.1501481E+01  0.1658433E+01  0.4194088E-01
  0.1119804E+01  0.1593263E-01  0.1073727E-01  0.1058963E+01 -0.1501556E+01  0.1658128E+01  0.4101038E-01
  0.1140014E+01  0.1688444E-01  0.1065898E-01  0.1060093E+01 -0.1501645E+01  0.1657121E+01  0.3858381E-01
  0.1160223E+01  0.1938859E-01  0.1059348E-01  0.1060371E+01 -0.1501606E+01  0.1655943E+01  0.3686168E-01
  0.1179914E+01  0.2251793E-01  0.1060881E-01  0.1062471E+01 -0.1501481E+01  0.1655150E+01  0.3662320E-01
  0.1200123E+01  0.2485490E-01  0.1068091E-01  0.1066225E+01 -0.1501409E+01  0.1654924E+01  0.3632044E-01
  0.1219815E+01  0.2574991E-01  0.1083151E-01  0.1072102E+01 -0.1501429E+01  0.1655374E+01  0.3598143E-01
  0.1240024E+01  0.2617837E-01  0.1112310E-01  0.1082143E+01 -0.1501443E+01  0.1656401E+01  0.3762476E-01
  0.1260233E+01  0.2758674E-01  0.1151357E-01  0.1093964E+01 -0.1501360E+01  0.1657483E+01  0.4100281E-01
  0.1279924E+01  0.3071222E-01  0.1185239E-01  0.1101330E+01 -0.1501195E+01  0.1657960E+01  0.4258434E-01
  0.1300134E+01  0.3532351E-01  0.1208676E-01  0.1102636E+01 -0.1500995E+01  0.1657600E+01  0.4105254E-01
  0.1319825E+01  0.3989678E-01  0.1230242E-01  0.1102910E+01 -0.1500803E+01  0.1656789E+01  0.3987714E-01
  0.1340034E+01  0.4338630E-01  0.1258628E-01  0.1106697E+01 -0.1500632E+01  0.1656170E+01  0.4246350E-01
  0.1360244E+01  0.4522758E-01  0.1280193E-01  0.1109504E+01 -0.1500525E+01  0.1656182E+01  0.4714196E-01
  0.1379935E+01  0.4599318E-01  0.1262788E-01  0.1101540E+01 -0.1500510E+01  0.1656756E+01  0.4915744E-01
  0.1400144E+01  0.4678001E-01  0.1190197E-01  0.1077109E+01 -0.1500543E+01  0.1657647E+01  0.4648852E-01
  0.1419835E+01  0.4796951E-01  0.1091300E-01  0.1041412E+01 -0.1500561E+01  0.1658353E+01  0.4114475E-01
  0.1440045E+01  0.4862680E-01  0.9934481E-02  0.1001735E+01 -0.1500589E+01  0.1658420E+01  0.3619055E-01
  0.1460254E+01  0.4699034E-01  0.9103746E-02  0.9662155E+00 -0.1500719E+01  0.1657816E+01  0.3393328E-01
  0.1479945E+01  0.4252944E-01  0.8423789E-02  0.9366967E+00 -0.1500989E+01  0.1656979E+01  0.3410980E-01
  0.1500154E+01  0.3605974E-01  0.7800196E-02  0.9079400E+00 -0.1501357E+01  0.1656214E+01  0.3455413E-01
  0.1519846E+01  0.2966098E-01  0.7185707E-02  0.8780470E+00 -0.1501694E+01  0.1655827E+01  0.3383221E-01
  0.1540055E+01  0.2417491E-01  0.6528625E-02  0.8448983E+00 -0.1501934E+01  0.1656112E+01  0.3270190E-01
  0.1559746E+01  0.1993109E-01  0.5902152E-02  0.8102315E+00 -0.1502085E+01  0.1657080E+01  0.3191576E-01
  0.1579955E+01  0.1620280E-01  0.5272966E-02  0.7709149E+00 -0.1502238E+01  0.1658335E+01  0.3030325E-01
  0.1600165E+01  0.1287624E-01  0.4615596E-02  0.7277006E+00 -0.1502438E+01  0.1659269E+01  0.2705724E-01
  0.1619856E+01  0.1033038E-01  0.3974461E-02  0.6848419E+00 -0.1502635E+01  0.1659534E+01  0.2355752E-01
  0.1640065E+01  0.8919076E-02  0.3402597E-02  0.6437197E+00 -0.1502767E+01  0.1659110E+01  0.2089791E-01
  0.1659756E+01  0.8729395E-02  0.2966540E-02  0.6081004E+00 -0.1502814E+01  0.1658269E+01  0.1863021E-01
  0.1679966E+01  0.9168788E-02  0.2624398E-02  0.5779181E+00 -0.1502812E+01  0.1657497E+01  0.1621325E-01
  0.1700175E+01  0.9678889E-02  0.2399202E-02  0.5576388E+00 -0.1502764E+01  0.1657367E+01  0.1557181E-01
  0.1719866E+01  0.1011836E-01  0.2322073E-02  0.5482839E+00 -0.1502653E+01  0.1657973E+01  0.1812286E-01
  0.1740075E+01  0.1056291E-01  0.2343201E-02  0.5439234E+00 -0.1502501E+01  0.1658853E+01  0.2190314E-01
  0.1759767E+01  0.1090310E-01  0.2342310E-02  0.5375259E+00 -0.1502379E+01  0.1659303E+01  0.2323868E-01
  0.1779976E+01  0.1078976E-01  0.2302440E-02  0.5270262E+00 -0.1502314E+01  0.1659058E+01  0.2178574E-01
  0.1800185E+01  0.9565875E-02  0.2295779E-02  0.5174328E+00 -0.1502303E+01  0.1658306E+01  0.2064187E-01
  0.1819876E+01  0.6813610E-02  0.2300019E-02  0.5129499E+00 -0.1502344E+01  0.1657527E+01  0.2222644E-01
