  0.0000000E+00  0.1658359E+01
  0.2020933E-01  0.1658373E+01
  0.3990048E-01  0.1658598E+01
  0.6010981E-01  0.1659135E+01
  0.7980096E-01  0.1659646E+01
  0.1000103E+00  0.1659892E+01
  0.1202196E+00  0.1659950E+01
  0.1399108E+00  0.1659942E+01
  0.1601201E+00  0.1659884E+01
  0.1798112E+00  0.1659822E+01
  0.2000206E+00  0.1659697E+01
  0.2202299E+00  0.1659427E+01
  0.2399211E+00  0.1659184E+01
  0.2601304E+00  0.1659037E+01
  0.2798215E+00  0.1658584E+01
  0.3000309E+00  0.1657912E+01
  0.3202402E+00  0.1657615E+01
  0.3399314E+00  0.1657289E+01
  0.3601407E+00  0.1656652E+01
  0.3798318E+00  0.1656784E+01
  0.4000412E+00  0.1657971E+01
  0.4202505E+00  0.1658991E+01
  0.4399416E+00  0.1659267E+01
  0.4601510E+00  0.1659096E+01
  0.4798421E+00  0.1658585E+01
  0.5000515E+00  0.1657928E+01
  0.5197426E+00  0.1657501E+01
  0.5399519E+00  0.1657360E+01
  0.5601613E+00  0.1657430E+01
  0.5798524E+00  0.1657613E+01
  0.6000617E+00  0.1657735E+01
  0.6197529E+00  0.1657845E+01
  0.6399622E+00  0.1658138E+01
  0.6601716E+00  0.1658190E+01
  0.6798627E+00  0.1657790E+01
  0.7000720E+00  0.1657741E+01
  0.7197632E+00  0.1658406E+01
  0.7399725E+00  0.1659105E+01
  0.7601819E+00  0.1659468E+01
  0.7798730E+00  0.1659521E+01
  0.8000823E+00  0.1658879E+01
  0.8197735E+00  0.1657550E+01
  0.8399828E+00  0.1656260E+01
  0.8601921E+00  0.1655791E+01
  0.8798833E+00  0.1656226E+01
  0.9000926E+00  0.1657149E+01
  0.9197838E+00  0.1657978E+01
  0.9399931E+00  0.1658504E+01
  0.9602024E+00  0.1658711E+01
  0.9798936E+00  0.1658525E+01
  0.1000103E+01  0.1658006E+01
  0.1019794E+01  0.1657670E+01
  0.1040003E+01  0.1657740E+01
  0.1060213E+01  0.1657958E+01
  0.1079904E+01  0.1658216E+01
  0.1100113E+01  0.1658433E+01
  0.1119804E+01  0.1658128E+01
  0.1140014E+01  0.1657121E+01
  0.1160223E+01  0.1655943E+01
  0.1179914E+01  0.1655150E+01
  0.1200123E+01  0.1654924E+01
  0.1219815E+01  0.1655374E+01
  0.1240024E+01  0.1656401E+01
  0.1260233E+01  0.1657483E+01
